n_pressed,held,line_A,line_B,line_C,adc_A,adc_B,adc_C,n_masked,masked,fully_observable
2,CRUISE  CANCEL + CRUISE  RESUME,idle,CRUISE  CANCEL,idle,682,58,682,1,CRUISE  RESUME,no
2,CRUISE  CANCEL + FOLLOW DIST  −,idle,CRUISE  CANCEL,idle,682,58,682,1,FOLLOW DIST  −,no
2,CRUISE  CANCEL + DOWNHILL  CANCEL,idle,CRUISE  CANCEL,DOWNHILL  CANCEL,682,58,58,0,,yes
2,CRUISE  CANCEL + DOWNHILL  −,idle,CRUISE  CANCEL,DOWNHILL  −,682,58,133,0,,yes
2,CRUISE  CANCEL + DOWNHILL  RESUME,idle,CRUISE  CANCEL,DOWNHILL  RESUME,682,58,217,0,,yes
2,CRUISE  CANCEL + DOWNHILL  +,idle,CRUISE  CANCEL,DOWNHILL  +,682,58,350,0,,yes
2,FOLLOW DIST  + + CRUISE  RESUME,idle,FOLLOW DIST  +,idle,682,133,682,1,CRUISE  RESUME,no
2,FOLLOW DIST  + + FOLLOW DIST  −,idle,FOLLOW DIST  +,idle,682,133,682,1,FOLLOW DIST  −,no
2,FOLLOW DIST  + + DOWNHILL  CANCEL,idle,FOLLOW DIST  +,DOWNHILL  CANCEL,682,133,58,0,,yes
2,FOLLOW DIST  + + DOWNHILL  −,idle,FOLLOW DIST  +,DOWNHILL  −,682,133,133,0,,yes
2,FOLLOW DIST  + + DOWNHILL  RESUME,idle,FOLLOW DIST  +,DOWNHILL  RESUME,682,133,217,0,,yes
2,FOLLOW DIST  + + DOWNHILL  +,idle,FOLLOW DIST  +,DOWNHILL  +,682,133,350,0,,yes
2,CRUISE  RESUME + FOLLOW DIST  −,idle,CRUISE  RESUME,idle,682,217,682,1,FOLLOW DIST  −,no
2,CRUISE  RESUME + DOWNHILL  CANCEL,idle,CRUISE  RESUME,DOWNHILL  CANCEL,682,217,58,0,,yes
2,CRUISE  RESUME + DOWNHILL  −,idle,CRUISE  RESUME,DOWNHILL  −,682,217,133,0,,yes
2,CRUISE  RESUME + DOWNHILL  RESUME,idle,CRUISE  RESUME,DOWNHILL  RESUME,682,217,217,0,,yes
2,CRUISE  RESUME + DOWNHILL  +,idle,CRUISE  RESUME,DOWNHILL  +,682,217,350,0,,yes
2,FOLLOW DIST  − + DOWNHILL  CANCEL,idle,FOLLOW DIST  −,DOWNHILL  CANCEL,682,350,58,0,,yes
2,FOLLOW DIST  − + DOWNHILL  −,idle,FOLLOW DIST  −,DOWNHILL  −,682,350,133,0,,yes
2,FOLLOW DIST  − + DOWNHILL  RESUME,idle,FOLLOW DIST  −,DOWNHILL  RESUME,682,350,217,0,,yes
2,FOLLOW DIST  − + DOWNHILL  +,idle,FOLLOW DIST  −,DOWNHILL  +,682,350,350,0,,yes
2,DOWNHILL  CANCEL + DOWNHILL  −,idle,idle,DOWNHILL  CANCEL,682,682,58,1,DOWNHILL  −,no
2,DOWNHILL  CANCEL + DOWNHILL  RESUME,idle,idle,DOWNHILL  CANCEL,682,682,58,1,DOWNHILL  RESUME,no
2,DOWNHILL  CANCEL + DOWNHILL  +,idle,idle,DOWNHILL  CANCEL,682,682,58,1,DOWNHILL  +,no
2,DOWNHILL  − + DOWNHILL  RESUME,idle,idle,DOWNHILL  −,682,682,133,1,DOWNHILL  RESUME,no
2,DOWNHILL  − + DOWNHILL  +,idle,idle,DOWNHILL  −,682,682,133,1,DOWNHILL  +,no
2,DOWNHILL  RESUME + DOWNHILL  +,idle,idle,DOWNHILL  RESUME,682,682,217,1,DOWNHILL  +,no
3,CRUISE  −  BIG + CRUISE  −  SMALL + CRUISE  +  BIG,CRUISE  −  BIG,idle,idle,58,682,682,2,"CRUISE  −  SMALL, CRUISE  +  BIG",no
3,CRUISE  −  BIG + CRUISE  −  SMALL + CRUISE  +  SMALL,CRUISE  −  BIG,idle,idle,58,682,682,2,"CRUISE  −  SMALL, CRUISE  +  SMALL",no
3,CRUISE  −  BIG + CRUISE  −  SMALL + CRUISE  CANCEL,CRUISE  −  BIG,CRUISE  CANCEL,idle,58,58,682,1,CRUISE  −  SMALL,no
3,CRUISE  −  BIG + CRUISE  −  SMALL + FOLLOW DIST  +,CRUISE  −  BIG,FOLLOW DIST  +,idle,58,133,682,1,CRUISE  −  SMALL,no
3,CRUISE  −  BIG + CRUISE  −  SMALL + CRUISE  RESUME,CRUISE  −  BIG,CRUISE  RESUME,idle,58,217,682,1,CRUISE  −  SMALL,no
3,CRUISE  −  BIG + CRUISE  −  SMALL + FOLLOW DIST  −,CRUISE  −  BIG,FOLLOW DIST  −,idle,58,350,682,1,CRUISE  −  SMALL,no
3,CRUISE  −  BIG + CRUISE  −  SMALL + DOWNHILL  CANCEL,CRUISE  −  BIG,idle,DOWNHILL  CANCEL,58,682,58,1,CRUISE  −  SMALL,no
3,CRUISE  −  BIG + CRUISE  −  SMALL + DOWNHILL  −,CRUISE  −  BIG,idle,DOWNHILL  −,58,682,133,1,CRUISE  −  SMALL,no
3,CRUISE  −  BIG + CRUISE  −  SMALL + DOWNHILL  RESUME,CRUISE  −  BIG,idle,DOWNHILL  RESUME,58,682,217,1,CRUISE  −  SMALL,no
3,CRUISE  −  BIG + CRUISE  −  SMALL + DOWNHILL  +,CRUISE  −  BIG,idle,DOWNHILL  +,58,682,350,1,CRUISE  −  SMALL,no
3,CRUISE  −  BIG + CRUISE  +  BIG + CRUISE  +  SMALL,CRUISE  −  BIG,idle,idle,58,682,682,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
3,CRUISE  −  BIG + CRUISE  +  BIG + CRUISE  CANCEL,CRUISE  −  BIG,CRUISE  CANCEL,idle,58,58,682,1,CRUISE  +  BIG,no
3,CRUISE  −  BIG + CRUISE  +  BIG + FOLLOW DIST  +,CRUISE  −  BIG,FOLLOW DIST  +,idle,58,133,682,1,CRUISE  +  BIG,no
3,CRUISE  −  BIG + CRUISE  +  BIG + CRUISE  RESUME,CRUISE  −  BIG,CRUISE  RESUME,idle,58,217,682,1,CRUISE  +  BIG,no
3,CRUISE  −  BIG + CRUISE  +  BIG + FOLLOW DIST  −,CRUISE  −  BIG,FOLLOW DIST  −,idle,58,350,682,1,CRUISE  +  BIG,no
3,CRUISE  −  BIG + CRUISE  +  BIG + DOWNHILL  CANCEL,CRUISE  −  BIG,idle,DOWNHILL  CANCEL,58,682,58,1,CRUISE  +  BIG,no
3,CRUISE  −  BIG + CRUISE  +  BIG + DOWNHILL  −,CRUISE  −  BIG,idle,DOWNHILL  −,58,682,133,1,CRUISE  +  BIG,no
3,CRUISE  −  BIG + CRUISE  +  BIG + DOWNHILL  RESUME,CRUISE  −  BIG,idle,DOWNHILL  RESUME,58,682,217,1,CRUISE  +  BIG,no
3,CRUISE  −  BIG + CRUISE  +  BIG + DOWNHILL  +,CRUISE  −  BIG,idle,DOWNHILL  +,58,682,350,1,CRUISE  +  BIG,no
