n_pressed,held,line_A,line_B,line_C,adc_A,adc_B,adc_C,n_masked,masked,fully_observable
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  −,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,3,"CRUISE  +  BIG, CRUISE  +  SMALL, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  +,133,58,350,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  + + CRUISE  RESUME,CRUISE  −  SMALL,FOLLOW DIST  +,idle,133,133,682,3,"CRUISE  +  BIG, CRUISE  +  SMALL, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  + + FOLLOW DIST  −,CRUISE  −  SMALL,FOLLOW DIST  +,idle,133,133,682,3,"CRUISE  +  BIG, CRUISE  +  SMALL, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  + + DOWNHILL  CANCEL,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  CANCEL,133,133,58,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  + + DOWNHILL  −,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  −,133,133,133,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  + + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  RESUME,133,133,217,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  + + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  +,133,133,350,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  RESUME + FOLLOW DIST  −,CRUISE  −  SMALL,CRUISE  RESUME,idle,133,217,682,3,"CRUISE  +  BIG, CRUISE  +  SMALL, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  RESUME + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  CANCEL,133,217,58,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  RESUME + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  −,133,217,133,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  RESUME + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  RESUME,133,217,217,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + CRUISE  RESUME + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  +,133,217,350,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  − + DOWNHILL  CANCEL,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  CANCEL,133,350,58,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  − + DOWNHILL  −,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  −,133,350,133,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  − + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  RESUME,133,350,217,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + FOLLOW DIST  − + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  +,133,350,350,2,"CRUISE  +  BIG, CRUISE  +  SMALL",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + DOWNHILL  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,3,"CRUISE  +  BIG, CRUISE  +  SMALL, DOWNHILL  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + DOWNHILL  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,3,"CRUISE  +  BIG, CRUISE  +  SMALL, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + DOWNHILL  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,3,"CRUISE  +  BIG, CRUISE  +  SMALL, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  SMALL,idle,DOWNHILL  −,133,682,133,3,"CRUISE  +  BIG, CRUISE  +  SMALL, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + DOWNHILL  − + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  −,133,682,133,3,"CRUISE  +  BIG, CRUISE  +  SMALL, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  +  SMALL + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  RESUME,133,682,217,3,"CRUISE  +  BIG, CRUISE  +  SMALL, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  + + CRUISE  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,3,"CRUISE  +  BIG, FOLLOW DIST  +, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  + + FOLLOW DIST  −,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,3,"CRUISE  +  BIG, FOLLOW DIST  +, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  + + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  BIG, FOLLOW DIST  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  + + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  BIG, FOLLOW DIST  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  + + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  BIG, FOLLOW DIST  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  + + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  +,133,58,350,2,"CRUISE  +  BIG, FOLLOW DIST  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + CRUISE  RESUME + FOLLOW DIST  −,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,3,"CRUISE  +  BIG, CRUISE  RESUME, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + CRUISE  RESUME + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  BIG, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + CRUISE  RESUME + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  BIG, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + CRUISE  RESUME + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  BIG, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + CRUISE  RESUME + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  +,133,58,350,2,"CRUISE  +  BIG, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  − + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  − + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  − + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + FOLLOW DIST  − + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  +,133,58,350,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + DOWNHILL  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  BIG, DOWNHILL  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + DOWNHILL  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  BIG, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + DOWNHILL  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  BIG, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + DOWNHILL  − + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  CANCEL + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + CRUISE  RESUME + FOLLOW DIST  −,CRUISE  −  SMALL,FOLLOW DIST  +,idle,133,133,682,3,"CRUISE  +  BIG, CRUISE  RESUME, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + CRUISE  RESUME + DOWNHILL  CANCEL,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  CANCEL,133,133,58,2,"CRUISE  +  BIG, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + CRUISE  RESUME + DOWNHILL  −,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  −,133,133,133,2,"CRUISE  +  BIG, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + CRUISE  RESUME + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  RESUME,133,133,217,2,"CRUISE  +  BIG, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + CRUISE  RESUME + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  +,133,133,350,2,"CRUISE  +  BIG, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + FOLLOW DIST  − + DOWNHILL  CANCEL,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  CANCEL,133,133,58,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + FOLLOW DIST  − + DOWNHILL  −,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  −,133,133,133,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + FOLLOW DIST  − + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  RESUME,133,133,217,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + FOLLOW DIST  − + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  +,133,133,350,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + DOWNHILL  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  CANCEL,133,133,58,2,"CRUISE  +  BIG, DOWNHILL  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + DOWNHILL  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  CANCEL,133,133,58,2,"CRUISE  +  BIG, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + DOWNHILL  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  CANCEL,133,133,58,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  −,133,133,133,2,"CRUISE  +  BIG, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + DOWNHILL  − + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  −,133,133,133,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  + + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  +,DOWNHILL  RESUME,133,133,217,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + FOLLOW DIST  − + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  CANCEL,133,217,58,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + FOLLOW DIST  − + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  −,133,217,133,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + FOLLOW DIST  − + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  RESUME,133,217,217,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + FOLLOW DIST  − + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  +,133,217,350,2,"CRUISE  +  BIG, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + DOWNHILL  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  CANCEL,133,217,58,2,"CRUISE  +  BIG, DOWNHILL  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + DOWNHILL  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  CANCEL,133,217,58,2,"CRUISE  +  BIG, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + DOWNHILL  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  CANCEL,133,217,58,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  −,133,217,133,2,"CRUISE  +  BIG, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + DOWNHILL  − + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  −,133,217,133,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + CRUISE  RESUME + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  RESUME,DOWNHILL  RESUME,133,217,217,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  − + DOWNHILL  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  CANCEL,133,350,58,2,"CRUISE  +  BIG, DOWNHILL  −",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  − + DOWNHILL  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  CANCEL,133,350,58,2,"CRUISE  +  BIG, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  − + DOWNHILL  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  CANCEL,133,350,58,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  − + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  −,133,350,133,2,"CRUISE  +  BIG, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  − + DOWNHILL  − + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  −,133,350,133,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + FOLLOW DIST  − + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,FOLLOW DIST  −,DOWNHILL  RESUME,133,350,217,2,"CRUISE  +  BIG, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + DOWNHILL  CANCEL + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,3,"CRUISE  +  BIG, DOWNHILL  −, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + DOWNHILL  CANCEL + DOWNHILL  − + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,3,"CRUISE  +  BIG, DOWNHILL  −, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + DOWNHILL  CANCEL + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  CANCEL,133,682,58,3,"CRUISE  +  BIG, DOWNHILL  RESUME, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  BIG + DOWNHILL  − + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,idle,DOWNHILL  −,133,682,133,3,"CRUISE  +  BIG, DOWNHILL  RESUME, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  + + CRUISE  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,3,"CRUISE  +  SMALL, FOLLOW DIST  +, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  + + FOLLOW DIST  −,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,3,"CRUISE  +  SMALL, FOLLOW DIST  +, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  + + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  SMALL, FOLLOW DIST  +",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  + + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  SMALL, FOLLOW DIST  +",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  + + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  SMALL, FOLLOW DIST  +",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  + + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  +,133,58,350,2,"CRUISE  +  SMALL, FOLLOW DIST  +",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + CRUISE  RESUME + FOLLOW DIST  −,CRUISE  −  SMALL,CRUISE  CANCEL,idle,133,58,682,3,"CRUISE  +  SMALL, CRUISE  RESUME, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + CRUISE  RESUME + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  SMALL, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + CRUISE  RESUME + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  SMALL, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + CRUISE  RESUME + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  SMALL, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + CRUISE  RESUME + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  +,133,58,350,2,"CRUISE  +  SMALL, CRUISE  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  − + DOWNHILL  CANCEL,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  SMALL, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  − + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  SMALL, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  − + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  SMALL, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + FOLLOW DIST  − + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  +,133,58,350,2,"CRUISE  +  SMALL, FOLLOW DIST  −",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  CANCEL + DOWNHILL  −,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  SMALL, DOWNHILL  −",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  CANCEL + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  SMALL, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  CANCEL + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  CANCEL,133,58,58,2,"CRUISE  +  SMALL, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  − + DOWNHILL  RESUME,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  SMALL, DOWNHILL  RESUME",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  − + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  −,133,58,133,2,"CRUISE  +  SMALL, DOWNHILL  +",no
5,CRUISE  −  SMALL + CRUISE  +  SMALL + CRUISE  CANCEL + DOWNHILL  RESUME + DOWNHILL  +,CRUISE  −  SMALL,CRUISE  CANCEL,DOWNHILL  RESUME,133,58,217,2,"CRUISE  +  SMALL, DOWNHILL  +",no
